Layer,Name,GEOID,Longitude,Latitude,"Uninsured rate (% of residents), 2015-2019","Homicide (crimes), 2017-2021","Major crime (crimes), 2016-2020","Violent crime (crimes), 2016-2020","Eviction rate (% of renter-occupied households), 2018","Severely rent-burdened (% of renter-occupied housing units), 2015-2019","Traffic crashes (number of crashes), 2021","High school graduation rate (% of residents), 2015-2019","College graduation rate (% of residents), 2015-2019","Unemployment rate (%), 2015-2019","Median household income, 2015-2019","Per capita income, 2015-2019","Poverty rate (% of residents), 2015-2019","Demographics, Non-Hispanic White (% of residents), 2016-2020","Population (residents), 2015-2019"
Census tract,Tract 7004.01,17031700401,-87.7120355,41.7455372,8.758087423,0.5,142.4,30,0.63,50.78369906,275,85.38026721,23.04727646,9.13558832,68946.51612,25202.60343,16.07057701,3.532145624,6337
Census tract,Tract 7004.02,17031700402,-87.7118234,41.7382302,8.206958073,0,86,22,1.07,55.0802139,183,80.92529389,24.19416003,18.63084922,74326.4658,25013.79605,23.90375534,8.182057353,4484
Census tract,Tract 7005.01,17031700501,-87.6903423,41.7462133,5.310860232,1,202.8,49.6,1.5,50.74906367,183,93.77742321,25.68807339,9.812734082,69844.94226,32036.79425,10.27190332,3.207401696,6594
Census tract,Tract 7005.02,17031700502,-87.6887683,41.7388522,8.612734543,0.4,57.8,13,2.78,22.22222222,161,93.1372549,31.72905526,17.90201005,108325.584,33805.00721,7.966779452,7.263329706,3449
Census tract,Tract 7101,17031710100,-87.6419713,41.7533918,8.32,0.8,101,36,1.81,31.90045249,74,83.21078431,8.823529412,24.79061977,18924.2276,13967.50345,54.8,0,1250
Census tract,Tract 7102,17031710200,-87.6514252,41.7551131,5.144175317,3.4,286.6,112.2,3.95,24.62184874,217,81.10535406,11.53713299,17.79290228,26823.37692,18649.50225,26.0899654,2.012025902,4335
Census tract,Tract 7103,17031710300,-87.6611057,41.7540485,10.6865285,2,95.4,31.4,3.87,26.80412371,104,86.4978903,10.75949367,26.40692641,37727.53362,15687.98421,34.90504257,0,1544
Census tract,Tract 7104,17031710400,-87.6709328,41.7539184,7.400142653,1.2,249.4,71,1.68,31.13101904,201,81.91995522,13.71396586,10.79136691,42066.92127,23327.25819,23.75178317,0.696500087,5608
Census tract,Tract 7105,17031710500,-87.6707874,41.7475316,7.241697417,3.2,234.8,83.8,3.07,37.487636,210,89.78571429,12.07142857,17.28797763,32009.21564,19203.19581,29.12011173,0.231000231,4336
Census tract,Tract 7106,17031710600,-87.6609434,41.74766,14.65968586,2,177,58,4.34,33.18872017,70,86.63507109,10.90047393,8.964451314,35308.04126,22483.98926,33.10063991,3.213296399,1719
Census tract,Tract 7107,17031710700,-87.656884,41.74711,4.229323308,1.6,182.6,56.8,2.5,27.79587405,140,84.82373173,6.706792777,14.34359806,20648.95122,17912.30489,22.05078753,0.379562044,3192
Census tract,Tract 7108,17031710800,-87.6488126,41.7478366,4.090328078,1.75,314.8,99.2,1.55,45.37102473,251,80.29571515,19.97585999,24.66699556,24568.29548,18188.09095,29.12228377,0.104427736,4694
Census tract,Tract 7109,17031710900,-87.6396893,41.7421461,7.555780933,2.4,294.8,61.2,1.17,31.69014085,216,86.37450199,25.01992032,17.12259372,34010.78604,20844.1229,33.67139959,0,1972
Census tract,Tract 7110,17031711000,-87.6485811,41.7396436,8.573159649,3,177.2,66.4,4.05,18.12366738,184,84.36,16.16,16.91729323,46517.68407,19113.03498,29.99091184,5.722145805,3301
Census tract,Tract 7111,17031711100,-87.6583002,41.7395016,12.16503615,2,132.4,44.6,2.95,45.57377049,125,78.76940133,14.80044346,17.21572795,41588.53852,25145.32479,11.90982561,0,2351
Census tract,Tract 7112,17031711200,-87.6698252,41.7405561,4.849464538,3.8,167,48.8,2.03,49.85465116,237,85.92418454,21.0402586,8.737864078,48048.29672,28984.05466,14.84645109,0.343568821,4949
Census tract,Tract 7113,17031711300,-87.6672855,41.7335044,10.73910297,0.8,62.4,16.6,0.28,19.66759003,111,80.8583691,16.22317597,17.13091922,43688.75547,25179.26769,15.79279848,2.977667494,1583
Census tract,Tract 7114,17031711400,-87.6521168,41.7336614,8.398133748,0.6,177.4,56.4,3.41,39.93174061,263,88.91640867,13.43653251,10.30640669,46141.13002,19757.95009,22.93934681,0.116009281,2572
Census tract,Tract 7115,17031711500,-87.6386888,41.7324402,17.89852177,1.2,93.2,34.2,0,56.06694561,104,85.04887867,12.42093157,18.27768014,47574.15684,20371.04372,22.17339193,0,2503
Census tract,Tract 7201,17031720100,-87.6747355,41.7276164,3.96332446,0,62,4.4,0,0,180,97,66.2173913,4.813137033,158688.3622,75032.90242,0.295770482,58.89186774,3381
